coin_id,trade_time,price,market_cap,volume
BTC,2024-09-07 00:00:00,53923.35611071905,1065462041080.5197,50260816556.81667
BTC,2024-09-08 00:00:00,54150.9383589072,1068954727890.2039,17048448412.007126
BTC,2024-09-09 00:00:00,54792.40755768575,1085390277573.522,18644823662.23431
BTC,2024-09-10 00:00:00,57049.118751143265,1126840069631.8132,35655419448.07046
BTC,2024-09-11 00:00:00,57624.16178336144,1137928777838.5286,29676093302.30697
BTC,2024-09-12 00:00:00,57381.764445000474,1134292554478.847,37765652735.2964
BTC,2024-09-13 00:00:00,58106.951229815284,1148469900814.253,34177859933.02337
BTC,2024-09-14 00:00:00,60620.62747295754,1197832322916.0117,31919740723.76027
BTC,2024-09-15 00:00:00,60003.29940083042,1185255944124.8464,15800120841.166773
BTC,2024-09-16 00:00:00,59214.80226801806,1169677517083.0613,17289597542.866756
BTC,2024-09-17 00:00:00,58211.123231286256,1150499194409.9338,32196570894.402115
BTC,2024-09-18 00:00:00,60317.0319794625,1191818552363.6113,34191170117.78261
BTC,2024-09-19 00:00:00,61440.41208494509,1211837853548.9263,40445339415.1129
BTC,2024-09-20 00:00:00,62966.52931910512,1243871590271.4927,41959080716.28771
BTC,2024-09-21 00:00:00,63128.224540748255,1246475981189.1353,35587830476.533394
BTC,2024-09-22 00:00:00,63403.402349259355,1254104417392.48,12938083115.659332
BTC,2024-09-23 00:00:00,63582.59956924825,1255899286380.1958,20349365412.816723
BTC,2024-09-24 00:00:00,63327.02654450202,1251095079247.0432,23998847798.757656
BTC,2024-09-25 00:00:00,64334.14274876097,1271183646356.5713,31490984593.70592
BTC,2024-09-26 00:00:00,63151.89959401337,1245721254991.302,26087643765.748165
BTC,2024-09-27 00:00:00,65130.76884023231,1287151352432.846,37995568903.94455
BTC,2024-09-28 00:00:00,65791.00212541742,1299708226182.0723,32664917503.931107
BTC,2024-09-29 00:00:00,65934.10709441357,1303217687717.8518,15342911002.84781
BTC,2024-09-30 00:00:00,65663.68986662335,1297825615076.3352,12948707838.938381
BTC,2024-10-01 00:00:00,63243.27532464382,1249577803402.1707,35124446789.27111
BTC,2024-10-02 00:00:00,60872.668543725544,1202927109017.5488,54251488433.95029
BTC,2024-10-03 00:00:00,60655.55979196848,1198652098493.4897,41870731291.86736
BTC,2024-10-04 00:00:00,60727.86395169296,1200491237695.5154,37711138441.76231
BTC,2024-10-05 00:00:00,62103.01047283253,1226663492771.043,30349059838.684578
BTC,2024-10-06 00:00:00,62091.932585194016,1226761949791.163,11095453162.990673
BTC,2024-10-07 00:00:00,62811.79972811266,1241834324867.657,14592422860.685436
BTC,2024-10-08 00:00:00,62287.39010510681,1231091696620.0955,33878876147.30253
BTC,2024-10-09 00:00:00,62185.230423727575,1229717180592.4397,28626429276.55382
BTC,2024-10-10 00:00:00,60597.15045618275,1197736450280.4102,28530748117.898792
BTC,2024-10-11 00:00:00,60195.18073772453,1189691671375.1472,29481971885.649742
BTC,2024-10-12 00:00:00,62392.34048293159,1233357176570.333,32008659336.482643
BTC,2024-10-13 00:00:00,63207.77062127557,1249002272717.2275,17665963646.417107
BTC,2024-10-14 00:00:00,62829.533686088886,1241241970951.0295,16784552979.060463
BTC,2024-10-15 00:00:00,66049.99492708022,1306085613997.8015,46553796134.14602
BTC,2024-10-16 00:00:00,66962.21994496793,1323774576161.621,51797932876.82809
BTC,2024-10-17 00:00:00,67647.54414766871,1337304399194.887,40640495380.19594
BTC,2024-10-18 00:00:00,67328.10527002988,1330387728623.8188,34512072357.92087
BTC,2024-10-19 00:00:00,68465.61920668735,1353541799303.4875,39984956633.228035
BTC,2024-10-20 00:00:00,68388.87128965274,1351942347611.1997,14110889435.452631
BTC,2024-10-21 00:00:00,68962.82918045693,1362381684459.9053,17253863432.786995
BTC,2024-10-22 00:00:00,67394.85775735618,1332326858574.4448,40485496091.95008
BTC,2024-10-23 00:00:00,67351.04793512498,1331426858508.4004,31398389967.38113
BTC,2024-10-24 00:00:00,66683.96806542306,1318285437546.2786,32676918488.059
BTC,2024-10-25 00:00:00,68214.05205157402,1347888109010.5889,35892606570.03549
BTC,2024-10-26 00:00:00,66585.66535501445,1313975091942.221,48426924850.053406
BTC,2024-10-27 00:00:00,67018.1650170265,1325192118637.2595,21169467789.89267
BTC,2024-10-28 00:00:00,67938.55412885673,1343350549900.1233,16533385730.434193
BTC,2024-10-29 00:00:00,69845.304531169,1380874923096.4146,41990540384.96554
BTC,2024-10-30 00:00:00,72781.11308158132,1439310420089.3665,65487782004.97014
BTC,2024-10-31 00:00:00,72342.62171127986,1431085552900.1965,43498144313.67304
BTC,2024-11-01 00:00:00,70264.99735573279,1390195908292.9321,45907074188.570145
BTC,2024-11-02 00:00:00,69507.92256395647,1374687306836.925,54863092261.31101
BTC,2024-11-03 00:00:00,69299.16036699413,1370516856365.7996,14709379754.965973
BTC,2024-11-04 00:00:00,68803.50626277467,1362302032218.0198,37659435506.757034
BTC,2024-11-05 00:00:00,67793.29782704762,1340192510479.9568,46183110993.79166
BTC,2024-11-06 00:00:00,69335.42553133758,1370963795352.6948,40025021601.49395
BTC,2024-11-07 00:00:00,75620.88606963192,1496392703840.9058,128492534668.23851
BTC,2024-11-08 00:00:00,75987.24178320667,1502620808927.6982,66590396087.4524
BTC,2024-11-09 00:00:00,76550.0213845611,1514048743889.1255,50687468387.720375
BTC,2024-11-10 00:00:00,76630.22631415377,1519470275068.1016,31430906055.796104
BTC,2024-11-11 00:00:00,80466.71654833542,1590846468754.067,93473126207.67865
BTC,2024-11-12 00:00:00,88637.42000322911,1756619702929.0437,133959805308.72511
BTC,2024-11-13 00:00:00,88264.59974582895,1741113172482.1243,152356811694.44943
BTC,2024-11-14 00:00:00,90488.10007497849,1790737763695.3328,136046309843.60645
BTC,2024-11-15 00:00:00,87407.51273710128,1726797438787.217,99649391847.08359
BTC,2024-11-16 00:00:00,90947.97509443703,1799276211921.9302,84382485697.84985
BTC,2024-11-17 00:00:00,90606.45489380708,1790415769635.4927,49255174407.368774
BTC,2024-11-18 00:00:00,89841.47194135105,1776887033229.9082,48556083101.64749
BTC,2024-11-19 00:00:00,90534.62459650292,1790917617392.4407,77391724184.19348
BTC,2024-11-20 00:00:00,92251.65240738312,1825195454018.501,80493234958.49161
BTC,2024-11-21 00:00:00,94217.02229634205,1862618759426.145,80747272080.24826
BTC,2024-11-22 00:00:00,98509.11859102432,1948284556982.0486,118163852022.3175
BTC,2024-11-23 00:00:00,98927.49494553401,1958091000957.8345,85746174563.98602
BTC,2024-11-24 00:00:00,97679.46381643033,1931255637661.502,47414200206.70341
BTC,2024-11-25 00:00:00,98015.9355289458,1939446484727.4285,50665680246.86775
BTC,2024-11-26 00:00:00,93004.70093103287,1838788677873.8657,89476321216.0935
BTC,2024-11-27 00:00:00,91931.83077291827,1819990514406.0881,97389239315.52954
BTC,2024-11-28 00:00:00,95981.18057210564,1899088665519.225,81469353259.75
BTC,2024-11-29 00:00:00,95661.59595817851,1892297852304.72,49067932024.40325
BTC,2024-11-30 00:00:00,97453.2473451042,1926826079390.2441,74670031635.5065
BTC,2024-12-01 00:00:00,96513.14234698225,1910022814269.8855,43580019720.720634
